benchmark             pass                 MDE                  DV                      MEE                  EV                      delta                    delta %
mergesort             early_optimizations  0.30231244761218756  4.888962952683133e-05   0.28732659618662504  0.00016535488337306636  -0.014985851425562524    -4.957073896205118%
sglib-listinsertsort  mergephi             0.21401231173325003  4.532001767540448e-05   0.20343060118206246  0.00012273559546073447  -0.010581710551187562    -4.944440095753395%
ctl-vector            early_optimizations  0.1200904423121875   0.0001232562008764162   0.1141596464688125   0.00011040941503255435  -0.005930795843374997    -4.9386077103099355%
levenshtein           local-pure-const     0.4869627690795625   0.0006653006592298313   0.4629737015906874   0.0010612081016630913   -0.023989067488875082    -4.926263158519953%
dtoa                  ccp                  0.18605965681675002  8.873732130686207e-05   0.1770584223480625   8.99435951823263e-05    -0.00900123446868753     -4.837821708739814%
sglib-arrayquicksort  early_optimizations  0.10610433144581248  5.823093518845298e-06   0.10143510702147499  1.0572293915713902e-05  -0.004669224424337495    -4.400597374973396%
bs                    mergephi             0.39316606417824995  0.00014049969307600605  0.375871758839375    0.0013342737040026532   -0.017294305338874938    -4.398727895049001%
stb_perlin            einline              0.2410281666595625   6.671640347781633e-05   0.23087614461987502  4.041501753408331e-05   -0.010152022039687486    -4.211965008233496%
sglib-queue           fre                  0.20154743615418752  4.953196618873165e-05   0.193219028707125    4.30928129203252e-05    -0.008328407447062508    -4.132231898346314%
sglib-arraybinsearch  copyrename           0.357283333426375    0.00015470436528140357  0.34272449411481254  6.255616680052222e-05   -0.014558839311562488    -4.074872223101504%
bs                    einline              0.39238215110812497  0.00012383571122963544  0.3766556719095      0.0013785488054060665   -0.015726479198624965    -4.007949687367755%
newlib-mod            copyprop             0.1866396897699375   0.00017342552485938845  0.17919324917149998  7.374593814165196e-05   -0.00744644059843752     -3.98974120007187%
nbody                 cddce                0.3103623569316875   7.131653513767422e-05   0.29825764868012505  2.792828953207975e-05   -0.012104708251562457    -3.900185696239822%
ndes                  ccp                  0.22071293216518748  0.00012524325681756082  0.21222960782425002  0.0006124878679907104   -0.00848332434093746     -3.8436009425076696%
duff                  early_optimizations  0.396696016783875    9.43177097200255e-05    0.38152541668949996  0.00018002465362704781  -0.015170600094375042    -3.8242380695846956%
cover                 profile_estimate     0.275156805983875    5.001689886673485e-05   0.26464341582900003  0.000248196985128108    -0.010513390154874958    -3.8208722903590737%
sha                   early_optimizations  0.7041166422915      0.00032550020659140804  0.6775574615563748   0.00042759424950649446  -0.0265591807351252      -3.7719859381096494%
sglib-dllist          early_optimizations  0.203175870598125    2.0762162270242354e-05  0.19552125889512495  2.1295928215613267e-05  -0.007654611703000053    -3.767480695648459%
ndes                  tailr                0.22061586313381248  0.00014090262529651944  0.21232667685562504  0.0005985651302952455   -0.00828918627818745     -3.7572938593086214%
