benchmark              pass                 MDE                     MEE                     delta                    delta %
lms                    copyrename           0.46341762499999994     0.46332462499999993     -9.300000000000974e-05   -0.020068291532936357%
gdb-store              fre                  0.20602550000000003     0.20598524999999998     -4.025000000004719e-05   -0.019536416608646592%
statemate              forwprop             0.044592                0.04458337500000001     -8.624999999991279e-06   -0.019342034445620916%
bsort100               copyrename           0.16070874999999998     0.16067900000000002     -2.9749999999967303e-05  -0.018511748737991742%
fasta                  mergephi             0.18122975              0.1811975               -3.224999999998368e-05   -0.017795091589534105%
nettle-arcfour         copyrename           0.152223625             0.152200375             -2.3250000000002435e-05  -0.015273581876664962%
cover                  ccp                  0.15303187499999998     0.15300999999999998     -2.187500000000453e-05   -0.014294407619330636%
nettle-md5             copyprop             0.15306225              0.15304125              -2.1000000000021002e-05  -0.013719908076629607%
cnt                    ccp                  0.124494375             0.124477375             -1.7000000000003124e-05  -0.01365523542730595%
expint                 copyrename           0.110350875             0.11033600000000002     -1.4874999999983651e-05  -0.013479729997595082%
fibcall                fre                  0.0475425               0.047536375000000006    -6.124999999995717e-06   -0.01288320975967969%
slre                   copyrename           0.26914025              0.26910625              -3.4000000000034e-05     -0.012632818762720922%
fdct                   einline              0.162575625             0.16255687499999996     -1.875000000003957e-05   -0.01153309421387097%
st                     ccp                  0.048495375             0.048490000000000005    -5.374999999994967e-06   -0.01108353116146636%
bsort100               fre                  0.160701125             0.160686625             -1.4500000000000624e-05  -0.00902296110248178%
levenshtein            ccp                  0.293438125             0.29341225              -2.587500000000853e-05   -0.008817872592393552%
newlib-mod             fre                  0.040195749999999995    0.0401925               -3.2499999999963114e-06  -0.008085431917544298%
sglib-hashtable        copyrename           0.135160875             0.13515175              -9.125000000026473e-06   -0.00675121406252103%
sglib-dllist           ealias               0.160625125             0.160615375             -9.750000000002812e-06   -0.006070034186745573%
lcdnum                 forwprop             0.018999750000000003    0.018998625             -1.125000000001125e-06   -0.005921130541197252%
aha-mont64             esra                 0.168260375             0.168250875             -9.499999999995623e-06   -0.005646011427227369%
