benchmark              pass                 MDE                     MEE                     delta                    delta %
2dfir                  ccp                  0.037038625000000006    0.02081025              -0.016228375000000007    -43.81473394328219%
2dfir                  ealias               0.0354105               0.022438375             -0.012972124999999998    -36.63355501899154%
2dfir                  einline              0.035094625000000004    0.022754249999999997    -0.012340375000000008    -35.163148202894334%
2dfir                  copyprop             0.0343875               0.023461375             -0.010926125000000002    -31.773536895674305%
2dfir                  esra                 0.031283625             0.026565250000000002    -0.004718375             -15.0825711534389%
2dfir                  mergephi             0.030812375000000003    0.027036499999999995    -0.0037758750000000084   -12.254410768400708%
2dfir                  fre                  0.029922249999999997    0.027926625             -0.0019956249999999974   -6.669368112357852%
sglib-arraybinsearch   copyrename           0.000423875             0.0004045               -1.937499999999997e-05   -4.5709230315541065%
sglib-arraybinsearch   einline              0.000423375             0.000405                -1.8375e-05              -4.340124003542958%
gdb-arrayidx           copyrename           0.001132875             0.001088125             -4.4750000000000085e-05  -3.950126889550929%
gdb-arrayidx           ealias               0.001132125             0.001088875             -4.32500000000001e-05    -3.820249530749705%
gdb-arrayidx           mergephi             0.0011317500000000002   0.00108925              -4.250000000000022e-05   -3.755246299977929%
2dfir                  cddce                0.029384374999999997    0.0284645               -0.0009198749999999971   -3.1304902690630554%
gdb-arrayidx           ccp                  0.001127875             0.001093125             -3.475000000000006e-05   -3.081015183420154%
gdb-anon               esra                 0.0029536250000000005   0.002866125             -8.750000000000034e-05   -2.9624613821998502%
sglib-arraybinsearch   forwprop             0.00041975              0.000408625             -1.1124999999999959e-05  -2.6503871351995136%
sglib-arraybinsearch   ealias               0.00041924999999999997  0.000409125             -1.0124999999999989e-05  -2.415026833631482%
gdb-arrayidx           einline              0.00112125              0.00109975              -2.1500000000000035e-05  -1.9175027870680075%
gdb-anon               cddce                0.0029368750000000002   0.002882875             -5.400000000000023e-05   -1.8386890827835785%
cubic                  cddce                0.00224375              0.002207375             -3.637499999999995e-05   -1.6211699164345381%
gdb-anon               copyrename           0.002932                0.00288775              -4.425000000000002e-05   -1.509208731241474%
sglib-arraybinsearch   ccp                  0.00041712499999999996  0.00041125000000000005  -5.874999999999912e-06   -1.4084507042253314%
wikisort               early_optimizations  0.001106                0.00109575              -1.025000000000006e-05   -0.9267631103074195%
gdb-advance            cddce                0.007018875             0.0069595               -5.937499999999953e-05   -0.8459332870296099%
gdb-all-types          cddce                0.004105625             0.0040722499999999995   -3.337500000000042e-05   -0.8129091185873141%
bs                     ealias               0.010872875             0.010793                -7.987500000000008e-05   -0.7346263062897356%
cubic                  mergephi             0.002233375             0.00221775              -1.5625000000000014e-05  -0.6996138131751279%
gdb-all-types          esra                 0.004103                0.0040748749999999995   -2.8125000000000372e-05  -0.6854740433828996%
gdb-anon               einline              0.0029195000000000002   0.00290025              -1.925000000000017e-05   -0.6593594793629104%
gdb-all-types          mergephi             0.004101624999999999    0.00407625              -2.5374999999999356e-05  -0.6186572395087157%
st                     cddce                0.048642250000000005    0.048343125             -0.00029912500000000425  -0.6149489384228818%
gdb-async              esra                 0.004097125             0.004073125             -2.3999999999999716e-05  -0.585776611648405%
fasta                  cddce                0.18171337499999998     0.18071387500000002     -0.0009994999999999588   -0.5500420648727474%
gdb-all-types          copyprop             0.004100125             0.00407775              -2.2374999999999826e-05  -0.545715069662506%
gdb-anon               mergephi             0.0029175               0.00290225              -1.5250000000000073e-05  -0.5227077977720677%
cubic                  esra                 0.0022313750000000003   0.00221975              -1.162500000000035e-05   -0.5209792168506122%
gdb-anon               copyprop             0.0029173750000000003   0.002902375             -1.5000000000000256e-05  -0.5141608466515363%
nettle-md5             cddce                0.153443375             0.152660125             -0.0007832499999999853   -0.5104488870894461%
gdb-advance            ccp                  0.007006500000000001    0.006971875             -3.46250000000008e-05    -0.49418397202598724%
gdb-store              ealias               0.2065095               0.20550125000000002     -0.0010082499999999883   -0.48823419745822266%
bs                     mergephi             0.010858875             0.010807                -5.187499999999984e-05   -0.4777198374601405%
gdb-all-types          fre                  0.004098500000000001    0.004079375             -1.9125000000000912e-05  -0.46663413443945123%
gdb-anon               early_optimizations  0.002916625             0.002903125             -1.3500000000000057e-05  -0.4628637551965048%
sglib-listsort         cddce                0.129551625             0.128955125             -0.0005964999999999998   -0.4604342091424942%
ndes                   cddce                0.18083037500000002     0.18002062500000002     -0.000809749999999998    -0.44779534411737953%
sglib-dllist           cddce                0.160973375             0.160267125             -0.0007062499999999916   -0.43873715140779745%
duff                   cddce                0.147856875             0.14720987500000002     -0.0006469999999999809   -0.43758533378984293%
insertsort             cddce                0.1386685               0.138064625             -0.0006038750000000037   -0.43548102128457705%
nettle-arcfour         cddce                0.15254199999999998     0.15188200000000002     -0.0006599999999999662   -0.43266772429885947%
sglib-listinsertsort1  cddce                0.18937125000000002     0.18855862499999998     -0.000812625000000039    -0.4291174082655308%
cnt                    cddce                0.12475299999999999     0.12421875000000002     -0.0005342499999999722   -0.42824621451986905%
fft                    copyprop             0.0020162500000000002   0.002007625             -8.625000000000386e-06   -0.42777433354000666%
expint                 cddce                0.11057825              0.11010862500000002     -0.0004696249999999874   -0.4246992514350584%
gdb-store              cddce                0.20644337499999996     0.205567375             -0.0008759999999999601   -0.42432943173882925%
nbody                  cddce                0.17318062499999998     0.17244974999999998     -0.000730874999999992    -0.4220304667453372%
ludcmp                 cddce                0.185893375             0.185119375             -0.0007739999999999969   -0.41636771617062573%
select                 cddce                0.16648050000000003     0.16579300000000002     -0.0006875000000000075   -0.4129612777472481%
aha-compress           cddce                0.149876375             0.14925975              -0.0006166250000000095   -0.41142241397285567%
fdct                   ealias               0.162900375             0.16223212499999998     -0.0006682500000000091   -0.4102200501380117%
ctl-vector             cddce                0.22059600000000001     0.21969624999999998     -0.0008997500000000325   -0.40787230956138476%
st                     ealias               0.048590875000000006    0.0483945               -0.00019637500000000557  -0.4041396661410307%
crc                    cddce                0.191380125             0.19061637500000003     -0.0007637499999999797   -0.3990748778118834%
ctl-stack              cddce                0.137885625             0.137336                -0.000549624999999998    -0.39860935467348246%
mergesort              ealias               0.05454362499999999     0.054328125000000005    -0.00021549999999998654  -0.3950965855312818%
sqrt                   mergephi             0.0118955               0.011849374999999999    -4.6125000000001026e-05  -0.387751670799891%
fibcall                cddce                0.04763099999999999     0.047447875             -0.00018312499999999232  -0.38446599903422635%
sqrt                   cddce                0.011895249999999998    0.011849625             -4.562499999999706e-05   -0.383556461612804%
aha-mont64             ealias               0.1685785               0.16793275000000002     -0.0006457499999999727   -0.3830559650251798%
recursion              cddce                0.262008                0.26102650000000005     -0.0009814999999999685   -0.37460688223259153%
sglib-listinsertsort   cddce                0.355162125             0.3538338750000001      -0.0013282499999999198   -0.3739841347102875%
minver                 cddce                0.193034625             0.192315375             -0.0007192499999999769   -0.37260154752028396%
sglib-dllist           copyprop             0.16091875              0.16032175              -0.0005969999999999864   -0.3709946789917188%
prime                  cddce                0.097239125             0.096885375             -0.0003537499999999999   -0.3637938946900231%
wikisort               forwprop             0.001102875             0.001098875             -3.99999999999988e-06    -0.3626884279723342%
levenshtein            cddce                0.293957625             0.29289275              -0.0010648750000000207   -0.362254593668057%
lcdnum                 cddce                0.019033625000000002    0.01896475              -6.887500000000296e-05   -0.36185960372762915%
sha                    cddce                0.73272475              0.7301081249999999      -0.00261662500000015     -0.3571088597730798%
duff                   ealias               0.147796125             0.14727062500000002     -0.0005254999999999843   -0.3555573598428134%
sglib-arraysort1       cddce                0.27012562500000004     0.26917775              -0.0009478750000000424   -0.35090154812230134%
dijkstra               mergephi             0.154955375             0.154420625             -0.0005347500000000005   -0.34509935521759116%
sglib-listinsertsort1  ealias               0.189291125             0.18863875000000002     -0.0006523749999999828   -0.34464109186311975%
sglib-queue            cddce                0.182643625             0.182014375             -0.0006292499999999979   -0.3445233853631617%
crc                    ealias               0.19132325              0.19067325000000002     -0.0006499999999999839   -0.33973915872743327%
gdb-async              forwprop             0.004092                0.00407825              -1.3749999999999873e-05  -0.33602150537634096%
lcdnum                 einline              0.019031125             0.018967249999999998    -6.387500000000143e-05   -0.3356343884032154%
bubblesort             cddce                0.160734875             0.160195625             -0.0005392499999999911   -0.3354903532914006%
gdb-advance            forwprop             0.007000875             0.0069775               -2.337499999999996e-05   -0.3338868355741241%
float_matmult          cddce                0.20820550000000002     0.20751187499999998     -0.000693625000000031    -0.33314441741454043%
fasta                  esra                 0.181513625             0.18091362499999997     -0.0006000000000000449   -0.33055369810395496%
strstr                 cddce                0.16512424999999997     0.16458025              -0.0005439999999999612   -0.329448884703465%
fft                    mergephi             0.0020152499999999997   0.0020086250000000004   -6.624999999999253e-06   -0.3287433320927554%
fdct                   cddce                0.16283137500000003     0.162301125             -0.0005302500000000376   -0.3256436297980273%
crc32                  ealias               0.17241775              0.171856375             -0.0005613750000000028   -0.3255900277088657%
fac                    mergephi             0.10141125              0.10108612500000001     -0.0003251249999999817   -0.320600525089654%
expint                 einline              0.11051937499999999     0.1101675               -0.0003518749999999876   -0.3183830889380144%
gdb-store              copyprop             0.20633249999999997     0.20567825              -0.0006542499999999674   -0.3170852870972665%
lms                    cddce                0.4641036249999999      0.46263862499999997     -0.0014649999999999386   -0.31566226184937446%
recursion              ealias               0.261927875             0.26110662500000004     -0.0008212499999999401   -0.31354051186798665%
jfdctint               cddce                0.175614                0.17506425              -0.0005497499999999877   -0.31304451809080586%
levenshtein            einline              0.29388475000000003     0.292965625             -0.0009191250000000206   -0.3127501512072404%
cnt                    esra                 0.12467974999999999     0.12429200000000001     -0.0003877499999999784   -0.31099677373428997%
ud                     cddce                0.12838175              0.12798275              -0.0003989999999999827   -0.3107918376248826%
insertsort             einline              0.138581625             0.1381515               -0.0004301250000000034   -0.3103766462545113%
sglib-arraysort1       einline              0.27007075              0.269232625             -0.0008381250000000229   -0.3103353473117777%
fac                    cddce                0.10140600000000001     0.101091375             -0.0003146250000000128   -0.31026270634874936%
dijkstra               cddce                0.15492799999999998     0.15444799999999997     -0.0004800000000000082   -0.30982133636270287%
janne_complex          cddce                0.028957625             0.028868125             -8.94999999999993e-05    -0.30907230824350856%
st                     forwprop             0.04856724999999999     0.048418125             -0.000149124999999993    -0.3070484740231185%
ctl-stack              einline              0.13782212500000002     0.13739949999999998     -0.00042262500000003755  -0.306645250173031%
aha-compress           einline              0.149797125             0.149339                -0.00045812500000000367  -0.3058303021503274%
bs                     einline              0.0108495               0.010816375             -3.312500000000017e-05   -0.3053136089220717%
sha                    esra                 0.732527125             0.7303057500000001      -0.002221374999999859    -0.30324815616894174%
ctl-string             cddce                0.13351500000000002     0.133110375             -0.00040462500000001955  -0.3030558364228884%
lms                    ealias               0.464063                0.46267925              -0.001383750000000017    -0.2981814969088285%
newlib-exp             cddce                0.1324475               0.13205262499999998     -0.00039487500000001674  -0.298136997678338%
newlib-sqrt            cddce                0.198625125             0.198033                -0.0005921250000000267   -0.2981118325287532%
insertsort             ealias               0.13857112500000002     0.138162                -0.0004091250000000102   -0.2952454921615237%
float_matmult          forwprop             0.2081655               0.207551875             -0.0006136250000000065   -0.294777472732036%
gdb-bitfields          cddce                0.022056375             0.0219915               -6.487499999999896e-05   -0.2941326487240037%
cover                  cddce                0.15324549999999998     0.15279637499999998     -0.00044912499999999467  -0.2930754899817578%
fft                    forwprop             0.002014875             0.0020090000000000004   -5.874999999999804e-06   -0.2915813636081545%
janne_complex          copyrename           0.028954125             0.028871624999999998    -8.250000000000271e-05   -0.2849334939322211%
ndes                   forwprop             0.180682875             0.180168125             -0.0005147499999999805   -0.2848914154149808%
lcdnum                 copyprop             0.019026125             0.01897225              -5.387500000000184e-05   -0.28316328206611613%
sglib-listinsertsort1  mergephi             0.18923012500000003     0.18869975              -0.0005303750000000274   -0.2802804257514639%
crc                    mergephi             0.191265625             0.190730875             -0.0005347500000000005   -0.2795850012253904%
bsort100               cddce                0.16091875000000003     0.16046899999999997     -0.0004497500000000543   -0.2794888724900325%
tarai                  forwprop             0.054303250000000004    0.05415175              -0.0001515000000000058   -0.2789888266356172%
duff                   forwprop             0.14773862499999998     0.147328125             -0.0004104999999999803   -0.27785557094495794%
nettle-md5             ealias               0.15326462500000002     0.15283887499999999     -0.00042575000000003027  -0.27778751946186553%
select                 forwprop             0.166367625             0.165905875             -0.000461749999999983    -0.277547990481912%
insertsort             mergephi             0.138557875             0.13817525              -0.00038262499999999755  -0.27614814387128667%
aha-mont64             cddce                0.168487875             0.168023375             -0.0004645000000000066   -0.2756874938330171%
janne_complex          ealias               0.028952250000000002    0.028873500000000003    -7.874999999999896e-05   -0.27199958552443754%
janne_complex          einline              0.028952000000000002    0.028873749999999997    -7.82500000000054e-05    -0.27027493782814793%
recursion              einline              0.261870375             0.26116412499999997     -0.0007062500000000194   -0.2696945005711392%
ctl-stack              forwprop             0.13779625              0.137425375             -0.0003708750000000205   -0.26914738245781034%
ctl-vector             forwprop             0.22044187499999998     0.219850375             -0.0005914999999999948   -0.2683247001051841%
cover                  mergephi             0.15322649999999996     0.15281537499999998     -0.0004111249999999844   -0.2683119434301407%
dijkstra               forwprop             0.154895625             0.154480375             -0.0004152500000000059   -0.2680837499445229%
cover                  esra                 0.153224125             0.15281774999999997     -0.00040637500000001436  -0.26521606829212724%
slre                   cddce                0.26947875000000004     0.26876774999999997     -0.0007110000000000727   -0.2638426963165268%
sglib-arraysort        esra                 0.2323                  0.23168787500000002     -0.0006121249999999911   -0.2635062419285369%
recursion              forwprop             0.261862                0.26117250000000003     -0.000689499999999954    -0.2633066271547434%
slre                   esra                 0.26947475              0.26877175000000003     -0.0007029999999999537   -0.26087787445760824%
nbody                  forwprop             0.173040625             0.17258975000000001     -0.0004508749999999895   -0.2605602008198881%
sglib-rbtree           cddce                0.1653265               0.164897125             -0.00042937499999998185  -0.2597133550882538%
qurt                   cddce                0.16587425              0.16544362499999998     -0.0004306250000000178   -0.2596093124761787%
qurt                   einline              0.16587375000000001     0.165444125             -0.0004296250000000168   -0.2590072268819007%
statemate              copyprop             0.044645375             0.04453                 -0.0001153750000000009   -0.2584254248060429%
ctl-vector             ealias               0.22042975              0.21986250000000002     -0.0005672499999999914   -0.2573382222680883%
gdb-async              copyprop             0.004090374999999999    0.004079875             -1.0499999999999225e-05  -0.2567001803012982%
slre                   forwprop             0.269468375             0.26877812500000003     -0.0006902499999999478   -0.2561525076922099%
bubblesort             esra                 0.1606705               0.16026                 -0.0004104999999999803   -0.25549182955177235%
gdb-store              mergephi             0.20626737499999998     0.20574337500000003     -0.0005239999999999412   -0.2540392051820804%
mergesort              cddce                0.05450425              0.0543675               -0.00013674999999999798  -0.25089786576275797%
crc32                  cddce                0.17235325              0.17192087499999997     -0.00043237500000004037  -0.2508655914524619%
crc32                  einline              0.17235275              0.171921375             -0.0004313750000000116   -0.25028611379859717%
newlib-log             einline              0.214618                0.214082375             -0.0005356250000000118   -0.2495713313887986%
levenshtein            ealias               0.29378987500000003     0.29306049999999995     -0.0007293750000000876   -0.24826417179968763%
strstr                 einline              0.16505675              0.16464775              -0.0004089999999999927   -0.2477935619112776%
prime                  ealias               0.09718175              0.09694275              -0.0002390000000000031   -0.2459309489693313%
dijkstra               ealias               0.154877625             0.154498375             -0.00037924999999999764  -0.24487074876051182%
statemate              copyrename           0.044642249999999994    0.04453312500000001     -0.0001091249999999877   -0.24444332442918473%
expint                 esra                 0.110476125             0.11021075              -0.00026537499999999825  -0.2402102716763448%
float_matmult          esra                 0.208108625             0.20760874999999998     -0.0004998750000000107   -0.24019907872631935%
newlib-log             cddce                0.214606625             0.21409375              -0.000512874999999996    -0.23898376855793524%
gdb-constvars          cddce                0.034768875             0.034686125             -8.274999999999949e-05   -0.23800022290050943%
fac                    ealias               0.10136875000000001     0.101128625             -0.0002401250000000077   -0.23688266847525263%
jfdctint               ealias               0.175546875             0.175131375             -0.0004154999999999853   -0.23668891855806912%
ndes                   copyprop             0.1806365               0.1802145               -0.0004220000000000057   -0.23361834402239068%
janne_complex          forwprop             0.028946625000000004    0.028879125             -6.750000000000506e-05   -0.23318780686869384%
float_matmult          einline              0.20810112500000003     0.20761624999999997     -0.00048487500000005124  -0.23299970146727997%
select                 copyprop             0.166330375             0.165943125             -0.00038725000000000565  -0.23281977209514837%
fibcall                einline              0.047594250000000005    0.047484625             -0.00010962500000000208  -0.2303324456210615%
newlib-log             ealias               0.21459574999999997     0.214104625             -0.0004911249999999812   -0.22886054360348757%
wikisort               esra                 0.0011021249999999998   0.001099625             -2.499999999999898e-06   -0.22683452421457623%
sglib-hashtable        einline              0.13530875              0.135003875             -0.00030487500000001     -0.22531802267038165%
strstr                 copyprop             0.165036125             0.164668375             -0.00036775              -0.22283000161328315%
nettle-arcfour         esra                 0.15238062500000002     0.15204337499999998     -0.0003372500000000389   -0.22132078799390595%
crc                    esra                 0.19120962500000002     0.19078687500000002     -0.0004227499999999995   -0.22109242670184595%
statemate              ealias               0.04463675              0.044538625000000005    -9.812499999999752e-05   -0.21983007275394717%
sqrt                   einline              0.0118855               0.011859375             -2.6125000000000106e-05  -0.21980564553447565%
sglib-rbtree           einline              0.165293125             0.1649305               -0.0003626250000000053   -0.21938299006689194%
statemate              cddce                0.044636625             0.04453875              -9.787499999999727e-05   -0.21927061017717464%
sglib-arraysort        cddce                0.232246375             0.2317415               -0.0005048750000000157   -0.2173876772027188%
fft                    einline              0.0020141250000000003   0.00200975              -4.375000000000472e-06   -0.21721591261716486%
ctl-vector             mergephi             0.2203845               0.21990775              -0.000476749999999998    -0.21632646579046985%
stb_perlin             esra                 0.038384375             0.038301375             -8.299999999999974e-05   -0.21623381909956782%
select                 esra                 0.166316                0.1659575               -0.00035849999999998383  -0.2155535246157819%
prime                  mergephi             0.097165875             0.09695862499999999     -0.00020725000000000604  -0.21329504828727786%
sglib-listinsertsort   esra                 0.35487325              0.35412275000000004     -0.0007504999999999318   -0.2114839594136588%
sqrt                   ealias               0.011885000000000001    0.011859874999999999    -2.5125000000002576e-05  -0.21140092553641204%
sglib-listinsertsort1  forwprop             0.18916462499999998     0.18876525              -0.0003993749999999796   -0.21112562668626844%
sglib-arraybinsearch   mergephi             0.000414625             0.00041374999999999995  -8.750000000000619e-07   -0.21103406692796187%
slre                   ealias               0.269407125             0.26883937500000005     -0.000567749999999978    -0.21074052885571526%
insertsort             copyprop             0.13851225              0.138220875             -0.0002913750000000104   -0.21036045548318677%
edn                    forwprop             0.14086912499999998     0.140573375             -0.0002957499999999835   -0.209946643737571%
prime                  forwprop             0.09716375              0.09696075000000001     -0.00020299999999998097  -0.20892565385751474%
mergesort              esra                 0.05449275              0.054379                -0.00011375000000000274  -0.2087433649430479%
ctl-stack              copyprop             0.137754125             0.1374675               -0.00028662500000001256  -0.20806999427422776%
gdb-async              ealias               0.004089375             0.004080874999999999    -8.500000000000695e-06   -0.20785572367417257%
slre                   einline              0.269403125             0.268843375             -0.0005597500000000255   -0.20777413031122985%
jfdctint               einline              0.17552124999999996     0.175157                -0.0003642499999999549   -0.20752472991159474%
newlib-sqrt            ealias               0.1985345               0.198123625             -0.000410875000000005    -0.206953955106042%
edn                    mergephi             0.14086674999999999     0.14057575000000003     -0.00029099999999995796  -0.20657820245015804%
bs                     forwprop             0.010844125             0.010821749999999998    -2.237500000000156e-05   -0.20633292220443383%
sglib-arraysort        forwprop             0.232233375             0.23175450000000003     -0.00047887499999996197  -0.20620421160393593%
gdb-advance            mergephi             0.006996374999999999    0.006982                -1.4374999999998764e-05  -0.20546354362078598%
minver                 forwprop             0.19287312499999998     0.192476875             -0.0003962499999999869   -0.20544593758201768%
sglib-dllist           einline              0.160785125             0.160455375             -0.0003297499999999898   -0.20508737981824485%
ud                     einline              0.12831337499999998     0.12805112500000002     -0.0002622499999999639   -0.20438243480070875%
select                 einline              0.166306375             0.165967125             -0.00033925000000001315  -0.20399097749560902%
edn                    cddce                0.14086474999999998     0.14057775              -0.0002869999999999817   -0.20374153221439836%
insertsort             forwprop             0.1385075               0.13822562500000002     -0.000281874999999987    -0.203508835261619%
qurt                   ealias               0.165827625             0.16549025              -0.00033737500000000087  -0.20344921420662018%
ctl-string             einline              0.13344812500000003     0.13317725              -0.0002708750000000315   -0.2029814956186394%
duff                   mergephi             0.14768275              0.147384                -0.0002987500000000143   -0.20229173684808435%
gdb-async              einline              0.00408925              0.0040809999999999996   -8.250000000000444e-06   -0.2017484868863592%
levenshtein            mergephi             0.29372075              0.293129625             -0.0005911249999999701   -0.20125408232137845%
ctl-string             forwprop             0.133446625             0.13317875              -0.00026787500000000075  -0.20073568739561656%
prime                  einline              0.097159625             0.096964875             -0.00019474999999999354  -0.20044334259214516%
ud                     ealias               0.12831                 0.12805450000000002     -0.00025549999999999184  -0.19912711402072467%
sglib-rbtree           esra                 0.16527625              0.164947375             -0.00032887500000000625  -0.19898503263475922%
tarai                  early_optimizations  0.054281499999999996    0.0541735               -0.00010799999999999699  -0.1989628142184667%
sglib-dllist           forwprop             0.160780125             0.16046037500000002     -0.00031974999999997977  -0.19887408347268035%
sglib-hashtable        cddce                0.13529075000000002     0.13502187499999999     -0.0002688750000000295   -0.19873864251623222%
ctl-string             esra                 0.13344325              0.13318212499999998     -0.0002611250000000287   -0.195682434293251%
sha                    einline              0.73213125              0.730701625             -0.00142962499999999     -0.19526894938578157%
slre                   mergephi             0.26938612500000003     0.268860375             -0.000525750000000047    -0.19516595370308956%
gdb-constvars          esra                 0.03476125              0.034693749999999995    -6.750000000000506e-05   -0.19418173972456415%
sglib-hashtable        ealias               0.135287                0.13502562499999998     -0.00026137500000000813  -0.19320038141137594%
minver                 ealias               0.192858                0.192492                -0.0003660000000000052   -0.18977693432473902%
levenshtein            forwprop             0.29370375              0.293146625             -0.0005571249999999917   -0.18968944046509167%
nettle-arcfour         ealias               0.15235587499999997     0.152068125             -0.0002877499999999755   -0.1888670194043883%
gdb-advance            esra                 0.00699575              0.006982625             -1.3125000000000116e-05  -0.18761390844441433%
ctl-vector             copyprop             0.220352125             0.21994012500000004     -0.00041199999999996795  -0.18697346349619634%
aha-mont64             copyprop             0.168413                0.16809825              -0.00031475000000000253  -0.18689174826171526%
gdb-bitfields          mergephi             0.022044499999999998    0.022003375000000002    -4.1124999999996026e-05  -0.18655446936875877%
fasta                  copyrename           0.18138274999999998     0.1810445               -0.0003382499999999844   -0.1864841061236443%
sglib-queue            einline              0.18249912499999998     0.182158875             -0.0003402499999999864   -0.18643925005119144%
aha-compress           mergephi             0.149706375             0.14942975              -0.00027662500000000256  -0.18477837032658267%
newlib-sqrt            forwprop             0.198512125             0.19814600000000002     -0.0003661249999999949   -0.18443457798862156%
stb_perlin             mergephi             0.038378125             0.038307625             -7.050000000000112e-05   -0.18369839589610257%
strstr                 mergephi             0.16500350000000003     0.164701                -0.00030250000000003885  -0.1833294445269578%
fac                    forwprop             0.10134075000000001     0.10115662500000001     -0.00018412499999999332  -0.18168900466988186%
newlib-log             forwprop             0.21454499999999999     0.21415537499999998     -0.00038962500000000455  -0.18160525763825985%
gdb-anon               fre                  0.0029124999999999997   0.00290725              -5.249999999999613e-06   -0.18025751072960047%
edn                    ealias               0.14084800000000003     0.14059449999999998     -0.00025350000000004536  -0.17998125638989926%
gdb-arrayidx           early_optimizations  0.0011115               0.0011095               -2.0000000000000486e-06  -0.17993702204228956%
sglib-rbtree           copyprop             0.165260375             0.16496325              -0.00029712499999998143  -0.17979204028792833%
gdb-bitfields          esra                 0.02204375              0.022004125             -3.9625000000001465e-05  -0.1797561667139278%
