benchmark             pass                 U       p
crc                   copyprop             914.0   0.04090211782214368
crc                   copyrename           911.0   0.03900973748017049
crc                   cp                   1092.0  0.3314205517703327
crc                   devirt               1045.0  0.21757991973861335
crc                   ealias               1074.0  0.28505438740573785
crc                   early_optimizations  423.0   4.6942557274088215e-08
crc                   ehcleanup            994.0   0.12422924049068668
crc                   einline              996.0   0.1272584999875645
crc                   eipa_sra             1034.0  0.19461998586073342
crc                   emutls               1079.0  0.2976216801535678
crc                   esra                 1076.0  0.29005089304431286
crc                   fnsplit              931.0   0.05307501366080017
crc                   forwprop             517.0   1.6646627966389543e-06
crc                   fre                  1065.0  0.2630926308967457
crc                   increase_alignment   782.0   0.00338899904409877
crc                   inline               1036.0  0.19868120437462633
crc                   inline_param         807.0   0.3163041705540133
crc                   local-pure-const     802.0   0.005218468591288514
crc                   mergephi             1003.0  0.13826378006942092
crc                   profile              1041.0  0.20905542088585255
crc                   profile_estimate     620.0   0.019684620001570854
crc                   release_ssa          1119.0  0.4058831659932154
crc                   switchconv           1026.0  0.17888632969828766
crc                   tailr                1091.0  0.32876656677794425
crc                   tmipa                840.0   0.011228247763737013
crc                   whole-program        1130.0  0.43740805112025094
ctl-stack             ccp                  1075.0  0.2875475093396942
ctl-stack             cddce                790.0   0.0040372552192200675
ctl-stack             cdtor                1109.0  0.3777390546879723
ctl-stack             copyprop             740.0   0.0012835427734966462
ctl-stack             copyrename           1027.0  0.18080806311564457
ctl-stack             cp                   1080.0  0.30016516899521956
ctl-stack             devirt               1102.0  0.3584078979360158
ctl-stack             ealias               1126.0  0.4258873340610004
ctl-stack             early_optimizations  515.0   1.5503328704211044e-06
ctl-stack             ehcleanup            1006.0  0.14317337065804236
ctl-stack             einline              895.0   0.03008560067580411
ctl-stack             eipa_sra             1090.0  0.32612118921998934
ctl-stack             emutls               1135.0  0.45188278793665715
ctl-stack             esra                 1119.0  0.4058831659932154
ctl-stack             fnsplit              863.0   0.0172567287916576
ctl-stack             forwprop             972.0   0.09420294592322542
ctl-stack             fre                  991.0   0.11978053990285198
ctl-stack             increase_alignment   596.0   2.345633788592984e-05
ctl-stack             inline               1009.0  0.14819938408862238
ctl-stack             inline_param         827.0   0.3787237277222764
ctl-stack             local-pure-const     797.0   0.004693277377189977
ctl-stack             mergephi             942.0   0.06237491322996425
ctl-stack             profile              1100.0  0.3529482393150252
ctl-stack             profile_estimate     647.0   0.0334866096205896
ctl-stack             release_ssa          1005.0  0.14152392122197188
ctl-stack             switchconv           1121.0  0.4115760288773467
ctl-stack             tailr                1091.0  0.32876656677794425
ctl-stack             tmipa                729.0   0.0009810046048162482
ctl-stack             whole-program        1038.0  0.20279310838327885
ctl-string            ccp                  1041.0  0.20905542088585255
ctl-string            cddce                846.0   0.012591273594704754
ctl-string            cdtor                1140.0  0.4664217795031791
ctl-string            copyprop             970.0   0.09176493402774061
ctl-string            copyrename           991.0   0.11978053990285198
ctl-string            cp                   1141.0  0.4693355934311513
ctl-string            devirt               1065.0  0.2630926308967457
ctl-string            ealias               1150.0  0.49561513629399184
ctl-string            early_optimizations  445.0   1.127589690979206e-07
ctl-string            ehcleanup            955.0   0.07495078228201511
ctl-string            einline              1077.0  0.2925644457912562
ctl-string            eipa_sra             986.0   0.11261792376409274
ctl-string            emutls               1078.0  0.29508807338129317
ctl-string            esra                 1105.0  0.3666516249143129
ctl-string            fnsplit              836.0   0.010392501569734178
ctl-string            forwprop             860.0   0.016339540690946713
ctl-string            fre                  909.0   0.03778821529869987
ctl-string            increase_alignment   563.0   8.077880544406178e-06
ctl-string            inline               982.0   0.10711214790206186
ctl-string            inline_param         846.0   0.44114324329607835
ctl-string            local-pure-const     878.0   0.022529313650892523
ctl-string            mergephi             1008.0  0.1465110912385642
ctl-string            profile              1125.0  0.4230166142916768
ctl-string            profile_estimate     811.0   0.3284439547286743
ctl-string            release_ssa          1016.0  0.16038084745933168
ctl-string            switchconv           1123.0  0.4172875680784425
ctl-string            tailr                1071.0  0.2776374972630553
ctl-string            tmipa                710.0   0.0006078973044002033
ctl-string            whole-program        1011.0  0.15161487930499873
ctl-vector            ccp                  1039.0  0.20486798671143414
ctl-vector            cddce                1149.0  0.49269215541241723
ctl-vector            cdtor                1139.0  0.4635097642418137
ctl-vector            copyprop             1146.0  0.48392619410484433
ctl-vector            copyrename           1089.0  0.32348453275695455
ctl-vector            cp                   1135.0  0.45188278793665715
ctl-vector            devirt               1137.0  0.45769174999105755
ctl-vector            ealias               1123.0  0.4172875680784425
ctl-vector            early_optimizations  792.0   0.004215760185578083
ctl-vector            ehcleanup            1076.0  0.29005089304431286
ctl-vector            einline              0.0     1.617306277737752e-17
ctl-vector            eipa_sra             1131.0  0.44029693961536276
ctl-vector            emutls               1142.0  0.47225105059019407
ctl-vector            esra                 1136.0  0.4547860603284438
ctl-vector            fnsplit              1022.0  0.17132860218493928
ctl-vector            forwprop             1129.0  0.43452249568933343
ctl-vector            fre                  778.0   0.003101342597382871
ctl-vector            increase_alignment   987.0   0.11402540658690946
ctl-vector            inline               1067.0  0.26789733978379465
ctl-vector            inline_param         861.0   0.49156178523400995
ctl-vector            local-pure-const     1054.0  0.23747636629112667
ctl-vector            mergephi             1098.0  0.3475186914472465
ctl-vector            profile              1141.0  0.4693355934311513
ctl-vector            profile_estimate     840.0   0.4211944908041557
ctl-vector            release_ssa          1103.0  0.36114870324310233
ctl-vector            switchconv           1035.0  0.1966442440612866
ctl-vector            tailr                1097.0  0.34481552025061735
ctl-vector            tmipa                976.0   0.09922170097837102
ctl-vector            whole-program        1092.0  0.3314205517703327
dijkstra              ccp                  1067.0  0.26789733978379465
dijkstra              cddce                881.0   0.023732690220702703
dijkstra              cdtor                1053.0  0.23521747719989233
dijkstra              copyprop             1076.0  0.29005089304431286
dijkstra              copyrename           947.0   0.06700165888056567
dijkstra              cp                   1137.0  0.45769174999105755
dijkstra              devirt               1117.0  0.40021013689897966
dijkstra              ealias               1141.0  0.4693355934311513
dijkstra              early_optimizations  640.0   8.909577804742122e-05
dijkstra              ehcleanup            1036.0  0.19868120437462633
