benchmark             pass                 MDE                  DV                      MEE                  EV                      delta                    delta %
sglib-hashtable       esra                 0.16807095759093751  3.4139326028579865e-05  0.16544191356018748  7.859992230130508e-05   -0.0026290440307500385   -1.5642464756753418%
ctl-vector            ccp                  0.1182411830130417   0.00011732989518131924  0.11639216236529161  0.00012682691900989162  -0.0018490206477500964   -1.5637704229888787%
ctl-string            fre                  0.29504792784272915  7.277469649161955e-05   0.2904390931604168   7.808114280468184e-05   -0.004608834682312379    -1.5620630573514989%
levenshtein           inline               0.478720597695604    0.001051924851551936    0.47130738001481237  0.0008709929638827017   -0.007413217680791617    -1.5485478829355355%
edn                   profile_estimate     0.29812208046854166  0.00010317235332117724  0.2935104061975554   6.81085411558639e-05    -0.0046116742709862435   -1.5469079860634056%
recursion             tmipa                0.5459075031142918   0.009329060351666965    0.5374629981972292   0.00867966531688417     -0.008444504917062612    -1.546874675451138%
sglib-arraybinsearch  early_optimizations  0.352370484142625    0.00017816622141790184  0.34698066239281244  0.0001554051850788443   -0.005389821749812562    -1.529589449844779%
sha                   inline               0.6960790705131458   0.0003764573506253231   0.6855355824054582   0.0006607497808083231   -0.01054348810768757     -1.5146969007292475%
sha                   local-pure-const     0.6960680620755415   0.0005187634571220789   0.6855465908430625   0.0005186805004806202   -0.01052147123247904     -1.5115578210995675%
lcdnum                mergephi             0.4193573222216667   0.0030834035383761633   0.41302767011497915  0.004912416414294887    -0.006329652106687567    -1.5093696404666082%
duff                  local-pure-const     0.3921771587824167   0.00016304273545488348  0.3862854746737083   0.0001961026393573144   -0.005891684108708439    -1.5023016962538598%
strstr                inline               0.23169539461654173  5.5279392457067363e-05  0.22826843522731252  6.267685530935045e-05   -0.0034269593892292116   -1.4790796316434622%
dijkstra              early_optimizations  0.20535173874429166  1.9074670137029443e-05  0.20231784247722917  1.9384009534909045e-05  -0.0030338962670624914   -1.4774144526920043%
sglib-rbtree          local-pure-const     0.176976134009       2.4521035566265934e-05  0.174364317635875    2.5073541808556366e-05  -0.002611816373124992    -1.4758014620164377%
ud                    tmipa                0.18593886229562495  2.2525131516710813e-05  0.18321975341741667  2.6777786425265236e-05  -0.0027191088782082817   -1.4623671698524%
sglib-arraybinsearch  fre                  0.3522052714633541   0.00015820089470071634  0.34714587507208333  0.00017713358583045405  -0.005059396391270787    -1.4364908197568538%
fasta                 tmipa                0.3941146831679791   0.019384848341813546    0.3885093251384792   0.018190476792871293    -0.005605358029499907    -1.4222657183038263%
sglib-queue           profile_estimate     0.19955096819999996  4.4486434727084464e-05  0.1967138681164861   6.846239427323446e-05   -0.002837100083513844    -1.4217420787807755%
cnt                   tmipa                0.18367761739383334  2.291633385654345e-05   0.18107815282347914  2.2424347708513004e-05  -0.002599464570354204    -1.4152320828403107%
minver                local-pure-const     0.3030957498113958   7.337942101750077e-05   0.2988182983213125   8.828331334002532e-05   -0.004277451490083295    -1.4112541969806502%
bs                    local-pure-const     0.3872877402359791   0.0005275275635239959   0.3818538546955416   0.001016400749747897    -0.0054338855404375      -1.4030615937201028%
ctl-string            local-pure-const     0.2948080540390208   6.973586030666692e-05   0.29067896696412504  8.326057323141223e-05   -0.004129087074895732    -1.4006018554531101%
janne_complex         local-pure-const     0.3230364857047708   8.890641527093649e-05   0.3185303235552292   8.605523299376392e-05   -0.0045061621495415816   -1.3949390700280986%
sglib-listsort        tmipa                0.16679349670393753  2.434807294609497e-05   0.16446775630047916  2.442422498631475e-05   -0.0023257404034583706   -1.3943831440782226%
tarai                 copyprop             0.2507373398248333   5.049497992021829e-05   0.2472554854451459   6.196006414100771e-05   -0.003481854379687427    -1.3886461354818043%
lcdnum                copyrename           0.4190951711951667   0.003077193378712674    0.4132898211414792   0.0049218754624073165   -0.005805350053687486    -1.3852104373171163%
sglib-listinsertsort  tmipa                0.21016655567406253  0.00014108147281423637  0.20728401548539574  8.381716335501861e-05   -0.0028825401886667934   -1.3715503779474743%
sglib-dllist          local-pure-const     0.2007214592956459   3.468179944668336e-05   0.19798114147487497  3.241345100773966e-05   -0.0027403178207709156   -1.365234106202196%
insertsort            local-pure-const     0.39265106517758325  0.0001017435983123616   0.3873225592030834   0.00013312626127565295  -0.005328505974499853    -1.3570588359641769%
lcdnum                inline_param         0.4204573191335      0.0037226511700354393   0.41477088851326377  0.004092423519523202    -0.005686430620236216    -1.352439441880832%
ndes                  inline_param         0.21873688276204165  3.479330861691749e-05   0.21579465573541676  0.00047846372716082476  -0.0029422270266248884   -1.3450987275089146%
aha-mont64            local-pure-const     0.21744614277139576  0.0013043340437049564   0.2145310335506667   0.0016085557415740394   -0.002915109220729073    -1.340612063095444%
nettle-arcfour        tmipa                0.20025191841135423  2.723349098563995e-05   0.1975780942525416   2.936296464345174e-05   -0.002673824158812621    -1.3352302340095914%
ctl-stack             profile_estimate     0.11904397004641666  8.632345183416984e-06   0.11745710259606944  1.0566326311069613e-05  -0.0015868674503472235   -1.333009517179648%
mergesort             tmipa                0.2964021929787708   0.00016352215277378671  0.2924666138460417   0.00016089208193019008  -0.003935579132729072    -1.3277834057762692%
slre                  eipa_sra             0.26152520269612495  0.00013963064288954324  0.2580554313581667   0.00010439738295469822  -0.0034697713379582273   -1.3267445363534898%
fac                   inline               0.37870590413622907  0.009336965447908128    0.37372181741837496  0.009729042753550484    -0.004984086717854108    -1.3160837112434403%
dijkstra              tmipa                0.20518144417877085  1.6977956981975306e-05  0.20248813704275     2.2476785616101913e-05  -0.0026933071360208394   -1.312646544038461%
newlib-exp            fre                  0.23965184762897915  3.257418294609972e-05   0.23652837229225     3.974402845183566e-05   -0.003123475336729159    -1.3033387255852988%
lms                   tmipa                0.1994389164399167   3.191765918051668e-05   0.19684792862249997  3.2561817064358584e-05  -0.0025909878174167345   -1.2991385350798874%
